Depth (m)	Sound Speed (m/s)
3640	1521.0078
3650	1521.1730
3660	1521.3383
3670	1521.5037
3680	1521.6692
3690	1521.8347
3700	1522.0003
3710	1522.1660
3720	1522.3317
3730	1522.4975
3740	1522.6633
3750	1522.8292
3760	1522.9952
3770	1523.1612
3780	1523.3273
3790	1523.4935
3800	1523.6597
3810	1523.8259
3820	1523.9922
3830	1524.1586
3840	1524.3250
3850	1524.4915
3860	1524.6580
3870	1524.8246
3880	1524.9912
3890	1525.1579
3900	1525.3246
3910	1525.4914
3920	1525.6582
3930	1525.8251
3940	1525.9920
3950	1526.1589
3960	1526.3259
3970	1526.4930
3980	1526.6601
3990	1526.8272
4000	1526.9944
4010	1527.1616
4020	1527.3288
4030	1527.4961
4040	1527.6635
4050	1527.8308
4060	1527.9982
4070	1528.1657
4080	1528.3332
4090	1528.5007
4100	1528.6682
4110	1528.8358
4120	1529.0034
4130	1529.1711
4140	1529.3388
4150	1529.5065
4160	1529.6743
4170	1529.8421
4180	1530.0099
4190	1530.1777
4200	1530.3456
4210	1530.5135
4220	1530.6815
4230	1530.8494
4240	1531.0174
4250	1531.1855
4260	1531.3535
4270	1531.5216
4280	1531.6897
4290	1531.8579
4300	1532.0260
4310	1532.1942
4320	1532.3624
4330	1532.5307
4340	1532.6989
4350	1532.8672
4360	1533.0355
4370	1533.2039
4380	1533.3722
4390	1533.5406
4400	1533.7090
4410	1533.8775
4420	1534.0459
4430	1534.2144
4440	1534.3829
4450	1534.5514
4460	1534.7199
4470	1534.8885
4480	1535.0570
4490	1535.2256
4500	1535.3942
4510	1535.5629
4520	1535.7315
4530	1535.9002
4540	1536.0689
4550	1536.2376
4560	1536.4063
4570	1536.5751
4580	1536.7438
4590	1536.9126
4600	1537.0814
4610	1537.2502
4620	1537.4190
4630	1537.5878
4640	1537.7567
4650	1537.9256
4660	1538.0945
4670	1538.2634
4680	1538.4323
4690	1538.6012
4700	1538.7701
4710	1538.9391
4720	1539.1081
4730	1539.2771
4740	1539.4460
4750	1539.6151
4760	1539.7841
4770	1539.9531
4780	1540.1222
4790	1540.2912
4800	1540.4603
4810	1540.6294
4820	1540.7985
4830	1540.9676
4840	1541.1367
4850	1541.3058
4860	1541.4750
4870	1541.6441
4880	1541.8133
4890	1541.9825
4900	1542.1517
4910	1542.3209
4920	1542.4901
4930	1542.6593
4940	1542.8285
4950	1542.9977
4960	1543.1670
4970	1543.3362
4980	1543.5055
4990	1543.6748
5000	1543.8441
