# Frequency (Hz)  Amplitude
   10.0000	    0.0175
   30.2041	    0.0093
   50.4082	    0.0036
   70.6122	    0.0144
   90.8163	    0.0186
  111.0204	    0.0140
  131.2245	    0.0031
  151.4286	    0.0098
  171.6327	    0.0177
  191.8367	    0.0172
  212.0408	    0.0087
  232.2449	    0.0043
  252.4490	    0.0148
  272.6531	    0.0185
  292.8571	    0.0135
  313.0612	    0.0025
  333.2653	    0.0104
  353.4694	    0.0179
  373.6735	    0.0169
  393.8776	    0.0081
  414.0816	    0.0050
  434.2857	    0.0153
  454.4898	    0.0185
  474.6939	    0.0130
  494.8980	    0.0020
  515.1020	    0.0110
  535.3061	    0.0181
  555.5102	    0.0166
  575.7143	    0.0074
  595.9184	    0.0056
  616.1224	    0.0157
  636.3265	    0.0184
  656.5306	    0.0125
  676.7347	    0.0016
  696.9388	    0.0116
  717.1429	    0.0182
  737.3469	    0.0163
  757.5510	    0.0068
  777.7551	    0.0063
  797.9592	    0.0160
  818.1633	    0.0183
  838.3673	    0.0120
  858.5714	    0.0014
  878.7755	    0.0121
  898.9796	    0.0183
  919.1837	    0.0159
  939.3878	    0.0061
  959.5918	    0.0069
  979.7959	    0.0164
 1000.0000	    0.0182
